match,years,period,winner,runner-up,winner-score,runner-score
青流戦,2025,15,吉池隆真,柵木幹太,2,1
青流戦,2024,14,上野裕寿,岡部怜央,2,0
青流戦,2023,13,藤本渚,吉池隆真,2,0
青流戦,2022,12,徳田拳士,齊藤優希,2,0
青流戦,2021,11,服部慎一郎,井田明宏,2,1
青流戦,2019,9,池永天志,服部慎一郎,2,1
青流戦,2018,8,大橋貴洸,梶浦宏孝,2,0
青流戦,2017,7,西田拓也,井出隼平,2,1
青流戦,2016,6,井出隼平,石川優太,2,1
青流戦,2015,5,稲葉聡,増田康宏,2,1
青流戦,2014,4,石田直裕,藤森哲也,2,0
青流戦,2013,3,佐々木勇気,千田翔太,2,1
青流戦,2012,2,永瀬拓矢,伊藤真吾,2,0
青流戦,2011,1,船江恒平,宮本広志,2,1
