棋戦,期,年度,優勝者,勝,敗,相手
加古川青流戦,15,2025,吉池隆真,2,1,柵木幹太
加古川青流戦,14,2024,上野裕寿,2,0,岡部怜央
加古川青流戦,13,2023,藤本渚,2,0,吉池隆真
加古川青流戦,12,2022,徳田拳士,2,0,齊藤優希
加古川青流戦,11,2021,服部慎一郎,2,1,井田明宏
加古川青流戦,10,2020,,,,
加古川青流戦,9,2019,池永天志,2,1,服部慎一郎
加古川青流戦,8,2018,大橋貴洸,2,0,梶浦宏孝
加古川青流戦,7,2017,西田拓也,2,1,井出隼平
加古川青流戦,6,2016,井出隼平,2,1,石川優太
加古川青流戦,5,2015,稲葉聡,2,1,増田康宏
加古川青流戦,4,2014,石田直裕,2,0,藤森哲也
加古川青流戦,3,2013,佐々木勇気,2,1,千田翔太
加古川青流戦,2,2012,永瀬拓矢,2,0,伊藤真吾
加古川青流戦,1,2011,船江恒平,2,1,宮本広志
